Experiment_ID,Pressure-die distance,Pressure-die boost,Mandrel retraction timing,Collet boost
79,1.0,0.9157894736842106,1.0,0.20000000000000023
118,1.0,0.9157894736842106,1.0,0.20000000000000023
166,1.0,0.9157894736842106,1.0,0.20000000000000023
172,1.0,0.9157894736842106,1.0,0.20000000000000023
64,1.0,0.9473684210526316,0.0,0.5000000000000006
76,1.0,0.9473684210526316,0.0,0.5000000000000006
104,1.0,0.9473684210526316,0.0,0.5000000000000006
141,1.0,0.9473684210526316,0.0,0.5000000000000006
159,1.0,0.9473684210526316,0.0,0.5000000000000006
65,1.0,0.9473684210526316,0.5,0.5000000000000006
105,1.0,0.9473684210526316,0.5,0.5000000000000006
142,1.0,0.9473684210526316,0.5,0.5000000000000006
158,1.0,0.9473684210526316,0.5,0.5000000000000006
66,1.0,0.9473684210526316,1.0,0.5000000000000006
106,1.0,0.9473684210526316,1.0,0.5000000000000006
143,1.0,0.9473684210526316,1.0,0.5000000000000006
157,1.0,0.9473684210526316,1.0,0.5000000000000006
82,1.0,0.9684210526315791,0.0,0.7000000000000007
109,1.0,0.9684210526315791,0.0,0.7000000000000007
169,1.0,0.9684210526315791,0.0,0.7000000000000007
175,1.0,0.9684210526315791,0.0,0.7000000000000007
81,1.0,0.9684210526315791,0.5,0.7000000000000007
108,1.0,0.9684210526315791,0.5,0.7000000000000007
170,1.0,0.9684210526315791,0.5,0.7000000000000007
176,1.0,0.9684210526315791,0.5,0.7000000000000007
80,1.0,0.9684210526315791,1.0,0.7000000000000007
107,1.0,0.9684210526315791,1.0,0.7000000000000007
171,1.0,0.9684210526315791,1.0,0.7000000000000007
177,1.0,0.9684210526315791,1.0,0.7000000000000007
75,1.0,1.0,0.0,1.0
91,1.0,1.0,0.0,1.0
140,1.0,1.0,0.0,1.0
160,1.0,1.0,0.0,1.0
124,1.0,1.0,0.2,1.0
125,1.0,1.0,0.2,1.0
126,1.0,1.0,0.2,1.0
127,1.0,1.0,0.2,1.0
128,1.0,1.0,0.2,1.0
74,1.0,1.0,0.5,1.0
96,1.0,1.0,0.5,1.0
139,1.0,1.0,0.5,1.0
161,1.0,1.0,0.5,1.0
73,1.0,1.0,1.0,1.0
95,1.0,1.0,1.0,1.0
138,1.0,1.0,1.0,1.0
162,1.0,1.0,1.0,1.0
