Experiment_ID,Angle[degree]ORDistance[mm],Secondary-axis [mm],Main-axis [mm],Out-of-roundness [-],Collapse [mm]
5,18.0,22.110544513076157,21.510584342117763,0.0272258928579118,-0.525797498121527
5,19.0,22.11652555726504,21.520026040868014,0.0270688500826298,-0.5163557993712722
5,20.0,22.122947056911624,21.518680392528942,0.0274213193782686,-0.5177014477103477
5,21.0,22.133490670622844,21.506164339262355,0.0284677555466463,-0.530217500976935
5,22.0,22.142769508300177,21.495638354522164,0.0293664884947821,-0.540743485717126
5,23.0,22.14749041434421,21.480978417620296,0.0302459814662876,-0.5554034226189941
5,24.0,22.14955278246129,21.466583257316927,0.0309928158849214,-0.5697985829223633
5,25.0,22.149724427047783,21.452905861545496,0.0316212784183051,-0.5834759786937944
5,26.0,22.148363363125167,21.435966530795287,0.0323282123850756,-0.6004153094440028
5,27.0,22.1446618273832,21.42668647576823,0.0325813628035758,-0.6096953644710617
5,28.0,22.135481335152484,21.41783893741837,0.0325662535227843,-0.61854290282092
5,29.0,22.12740394167311,21.418532734106613,0.0321682212944808,-0.6178491061326774
5,30.0,22.118519332199927,21.42062865714664,0.0316699302141748,-0.6157531830926501
5,31.0,22.11505287910574,21.43180701885569,0.0310053558339789,-0.6045748213836006
5,32.0,22.112914706235177,21.44012507837222,0.0305308572314906,-0.5962567618670711
5,33.0,22.104639979950107,21.45169016411338,0.0296305364723902,-0.5846916761259102
5,34.0,22.096790254634683,21.45684275238913,0.0290404979767134,-0.5795390878501614
5,35.0,22.0813548824218,21.461923203992605,0.0281095001402674,-0.5744586362466855
5,36.0,22.068153664644736,21.458957275499664,0.0276450278254235,-0.5774245647396263
5,37.0,22.0585726306067,21.447031923071272,0.0277514118229124,-0.5893499171680183
5,38.0,22.05767811564472,21.431664346635856,0.0284081921227984,-0.6047174936034345
5,39.0,22.06240731397576,21.418049176369863,0.0292406504061057,-0.618332663869424
5,40.0,22.06478680019611,21.40816168545385,0.0297973197007884,-0.6282201547854385
5,41.0,22.06716932697304,21.398995828020613,0.0303213796074415,-0.637386012218677
5,42.0,22.071100444891563,21.39390820264125,0.0307306456731357,-0.6424736375980444
5,43.0,22.07652825405076,21.39096215933084,0.0311106469151867,-0.64541968090845
5,44.0,22.084818479266044,21.397190656568988,0.0312042071008871,-0.6391911836703024
5,44.72999999999999,22.0914601373672,21.40554446557741,0.031126510547992,-0.6308373746618798
6,0.0,22.161041330712543,21.58122287808377,0.0263265996527011,-0.4428311310818387
6,1.0,22.15942472181285,21.609730446851422,0.0249588143369365,-0.4143235623141841
6,2.0,22.15455517180535,21.65983916449083,0.0224625315170693,-0.3642148446747804
6,3.0,22.15424960212496,21.709929928286503,0.0201742909663016,-0.3141240808791039
6,4.0,22.15718456710961,21.76393326588776,0.017855536544643,-0.2601207432778487
6,5.0,22.158770935674607,21.799541195819888,0.016310790906398,-0.2245128133457221
6,6.0,22.15635160772152,21.81551903918333,0.0154754691573288,-0.2085349699822778
6,7.0,22.15365331410255,21.80106997203401,0.0160090118704669,-0.2229840371315994
6,8.0,22.15247870173,21.75637356637265,0.0179851146020849,-0.2676804427929617
6,9.0,22.15038493270552,21.68896150274708,0.0209508853259448,-0.3350925064185333
6,10.0,22.14311195487169,21.622334306229924,0.0236458577710098,-0.4017197029356865
6,11.0,22.139208165064947,21.56321649944249,0.0261528447661249,-0.4608375097231239
6,12.0,22.13343945072469,21.51527187125991,0.0280678379742224,-0.5087821379057011
6,13.0,22.129893326893672,21.491272675378852,0.0289965076933177,-0.5327813337867546
6,14.0,22.12637384567473,21.48343311033844,0.0291926606731314,-0.5406208988271715
6,15.0,22.1211889530057,21.48068512668132,0.0290820130598038,-0.543368882484291
6,16.0,22.11385641659907,21.490928256622155,0.028283991662828,-0.5331257525434552
6,17.0,22.10742902802461,21.501146790645382,0.0275281851891082,-0.5229072185202277
6,18.0,22.1016116302235,21.51086143159328,0.0268229545016722,-0.5131925775723332
